"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Subsite_Base_Of_Tongue","Subsite_Buccal_Mucosa","Subsite_Cervical_Esophagus","Subsite_Floor_Of_Mouth","Subsite_Glottis","Subsite_Hard_Palate","Subsite_Lat_Wall","Subsite_0sal_Cavity","Subsite_0sal_Vestibule","Subsite_0sal_Vestibule_septum","Subsite_Other","Subsite_Post_Wall","Subsite_Post_cricoid","Subsite_Pyriform_Sinus","Subsite_Retromolar_Trigone","Subsite_Soft_Palate","Subsite_Subglottis","Subsite_Supraglottis","Subsite_Tongue","Subsite_Tonsil","Subsite_Tonsil_Pillar","Subsite_Tonsillar_Fossa","Subsite_Trans_Glottis","Subsite_Vallecula","Sex","Smoking_PY","Stage","HPV","HPV_Unknown","RT_year","Fx","d_Frac","Total_days_RT","Age","Cause","time","event","W_hat"
"Subsite_0sal_Cavity",0.796787609460684,0.567332620070536,0.129768788075435,0.653413340976912,8.12801712282435e-62,0.0126539736918485,0.257818612232996,0.873628536788318,0.796787609460684,0.89421639140079,0.23366366951073,0.886931671702234,0.785494575540152,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00171509226803258,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subsite_0sal_Vestibule",0.841979004737309,0.657891109416305,0.240876734759337,0.72811442224454,9.40364228633922e-37,0.0536351006110707,0.381026682553741,0.901997566212956,0.841979004737309,0.918005152665358,0.356531622588682,0.912343860137375,0.833112230690455,0.930701660084975,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subsite_0sal_Vestibule_septum",0.654766340217543,0.320566459528297,0.00848204563664493,0.435542678925982,1.21535723119428e-215,1.44827434822778e-05,0.0493541213957015,0.782407183393941,0.654766340217543,0.81739557911421,0.0385656906130112,0.80498502468688,0.636494077869925,0.845358502175513,0.879972520245468,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0113773260418378,1,1,1,1,1,1,1,1,1,1,1
"Subsite_Other",0.623989518939436,0.0614128140522483,0.00389934323010387,6.66237303768634e-15,4.85548065177505e-16,0.000902406034290702,0.0311642973229989,0.762061691357054,0.623989518939436,0.800170319698708,0.0233159244559067,0.786642997440494,0.604380780458526,0.830685287716254,0.868516933425421,0.710419272389189,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subsite_Post_Wall",0.596190281796751,7.18210185732082e-10,0.00180623592068508,0.355466922667987,0.520496741124921,0.544064700616043,0.0198254492689307,0.743453335011838,0.596190281796751,0.784379161022203,0.0142029225637171,0.769841044406505,0.575442961023369,0.817212916046241,0.85798264189462,0.688163147133391,0.659942803542312,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.141877290521631,1
"Subsite_Post_cricoid",0.715385869926336,1.20343876026282e-36,0.0318823854307653,0.524883514278559,0.658361794285362,0.000410278999680768,0.109033971082818,0.821810424478511,0.715385869926336,0.850651610582177,0.0916569833294029,0.840434068023186,0.699948467798214,0.873628536788318,0.901997566212956,0.782407183393941,0.762061691357054,0.743453335011838,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subsite_Pyriform_Sinus",0.245383564000129,0,6.33410699520718e-12,0.0427380463121843,0.158902105156008,3.24027583192736e-30,3.0590490358081e-07,0.473113609516072,0.245383564000129,0.548657954994844,7.02949619425885e-08,0.521295568249168,0.219527027409757,0.612408815884239,0.694882808760795,0.378967668014387,0.334782901924026,0.297124261248474,0.473113609516072,0,1,1,1,1,1,0.0257592351404933,1,0.060167219688246,1,1,1,1,0.00313716572913624,3.26178588097595e-09,2.10801649527242e-07,1,0.034613152152356,0.0230806890730568,0.0240164565400403,1,1,0.245730887013967,2.08792862694346e-05,1
"Subsite_Retromolar_Trigone",0.570776564777513,0.207886529202859,0.000840942578939042,3.88028221565037e-158,0.491782730438698,3.6775770886969e-08,0.0126800383183031,0.726227151899628,0.570776564777513,0.769726846627602,0.00869849706001234,0.754262915994531,0.549051098673428,0.804692790200852,0.848177790605375,0.667640263078197,0.637832157051404,0.610865493609944,0.726227151899628,0.264644613321186,0,1,1,1,1,1,1,1,1,1,1,0.217039345845208,1,0.319335363513621,0.00129609528672053,1,1,1,1,1,1,1,0.061406791417269,1
"Subsite_Soft_Palate",0.400618803399294,0.061820452359897,7.10137782442904e-07,0.142679517483672,0.308061591127419,4.27367238663448e-11,0.000216493024601113,0.603672707540716,0.400618803399294,0.66428922951177,9.86783173678494e-05,0.64258826520153,0.374340253303661,0.713910980494731,0.776541532248159,0.524377092135679,0.485232178988829,0.450601062379898,0.603672707540716,0.0981116696991304,0.419594145473262,0,1,1,1,1,1,1,1,1,1,0.0524591208533536,1,0.260234336985689,0.00264015044725057,1,1,1,1,1,1,1,1,1
"Subsite_Subglottis",0.677364333251697,0.355370036398499,8.32603598194035e-08,0.468129701043299,0.613878718835789,5.49167490302294e-05,0.0674365314499484,0.797192437639602,0.677364333251697,0.829889337920671,0.0542511821170518,0.818297296027704,0.660119517875959,0.855987650323019,0.888260285892207,0.752657314590139,0.729734111004728,0.708816907112696,0.797192437639602,0.413001019643669,0.689498541237933,0.553616108839227,0,1,1,1,1,1,1,1,1,1,1,1,0.316967947044895,1,1,1,1,1,1,1,1,0.103340527754174
"Subsite_Supraglottis",0.122775091310626,0.000599536360127024,5.16178121044513e-97,0.0070897826571522,0.0612527632756237,2.49608573896215e-53,9.22900915422969e-12,0.34058152112689,0.122775091310626,0.425613648536921,6.94771911441504e-13,0.394239485267955,0.102861590925033,0.500949552307787,0.602348413670728,0.242505525549435,0.200082417911176,0.16602709082377,0.34058152112689,0.00237513838363981,0.138367530493163,0.0279682377264599,0.276829810724696,0,1,2.2433694707504e-05,1,9.80357726160296e-05,1,1,0.614853432322695,3.27946273005714e-12,1,3.74663990446991e-22,1.06568348170702e-18,1,1,0.137767436639925,1,0.348357275263059,1,0.00510404984302441,0.0157450715499883,0.0355871960223697
"Subsite_Tongue",0.596190281796751,0.239143133839415,0.00180623592068508,5.20694045173176e-135,0.520496741124921,2.69423117927949e-07,0.0198254492689307,0.743453335011838,0.596190281796751,0.784379161022203,0.0142029225637171,0.769841044406505,0.575442961023369,0.817212916046241,0.85798264189462,0.688163147133391,0.659942803542312,0.634352344494348,0.743453335011838,0.297124261248474,0.610865493609944,0.450601062379898,0.708816907112696,0.16602709082377,0,1,1,1,1,1,0.0377326815145196,1,1,0.171479800630935,0.0011860385987823,1,1,1,1,1,1,1,1,1
