"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Subsite_Base_Of_Tongue","Subsite_Buccal_Mucosa","Subsite_Cervical_Esophagus","Subsite_Floor_Of_Mouth","Subsite_Glottis","Subsite_Hard_Palate","Subsite_Lat_Wall","Subsite_0sal_Cavity","Subsite_0sal_Vestibule","Subsite_0sal_Vestibule_septum","Subsite_Other","Subsite_Post_Wall","Subsite_Post_cricoid","Subsite_Pyriform_Sinus","Subsite_Retromolar_Trigone","Subsite_Soft_Palate","Subsite_Subglottis","Subsite_Supraglottis","Subsite_Tongue","Subsite_Tonsil","Subsite_Tonsil_Pillar","Subsite_Tonsillar_Fossa","Subsite_Trans_Glottis","Subsite_Vallecula","Sex","Smoking_PY","Stage","HPV","HPV_Unknown","RT_year","Fx","d_Frac","Total_days_RT","Age","Cause","time","event","W_hat"
"Subsite_Glottis",-0.0612481443375191,-0.136042363174066,0.78620099211334,-0.106799158222608,-0.0742727620363143,-0.592589002802424,-0.269101633494782,-0.0378306247908324,-0.0612481443375191,-0.031627408354362,1,-0.0338196545163713,-0.0647347349711426,-0.0267165625378668,-0.0206841375089425,-0.0463915054891217,-0.0508580086635351,-0.0549747814296126,-0.0378306247908324,-0.120501294427369,-0.0588153593121054,-0.0871973471752766,-0.0431662793627592,-0.160064847851822,-0.0549747814296126,-0.220758236246969,-0.0635926070700431,-0.210464245893928,-0.0338196545163713,-0.0448071043774866,0.114790506282161,0.112120314066932,-0.665422808460961,-0.412166694990596,0.502097722562007,-0.000964328408275485,-0.430919987532413,0.358419904987931,-0.43575019478386,0.174904507769434,-0.346265040602636,0.0106956178419063,-0.07519008799733,-0.479121857346557
"Subsite_Hard_Palate",-0.00731356759899499,-0.0162446557387547,-0.0430165502913736,0.316665927702155,-0.0088688216074475,-0.0707603434731604,-0.0321331039307661,-0.00451730962158282,-0.00731356759899499,-0.00377659097238887,-0.0338196545163713,1,-0.00772989721297494,-0.0031901927519096,-0.00246986810024694,-0.00553955413806716,-0.00607289393555042,-0.00656447284361483,-0.00451730962158282,-0.0143889153229595,-0.00702307165124614,-0.0104121308476731,-0.00515443374703602,-0.0191131518783017,-0.00656447284361483,-0.0263604767342819,-0.007593517087475,-0.0251312836685216,-0.00403836446239273,-0.00535036269791494,-0.0732846709808575,-0.0129243903059406,0.0020767112664318,-0.0515830134553953,0.0728115876770184,-0.0195035839012191,-0.0578376627665114,0.0580588412981992,-0.0584737237159349,0.0413050892118409,-0.032708881813604,-0.039879015496941,0.00631890407851577,-0.0451228526682127
"Subsite_Lat_Wall",-0.0139990152763179,0.0388281414067552,-0.0823386584607748,-0.0244102586882837,-0.0169759515428089,0.0754910072542081,-0.0615064818521839,-0.00864665370825119,-0.0139990152763179,-0.00722883244042773,-0.0647347349711426,-0.00772989721297494,1,-0.00610639834306284,-0.00472761354808541,-0.0106033480860215,-0.0116242222177465,-0.012565161171323,-0.00864665370825119,-0.0275420501265941,-0.0134429723936619,-0.0199300241397409,-0.00986618306166219,-0.036584785947654,-0.012565161171323,-0.0504570049431068,-0.0145348710146812,-0.0481041870779259,-0.00772989721297494,-0.0102412137617003,-0.00818298528696316,0.0432163826960107,0.0534568064122588,-0.0387315225745486,-0.0130298704692401,-0.0270038627892436,0.0415189577297363,-0.0273762168913646,0.0422754712855551,-0.00319779672349089,0.0273255783554584,-0.0349043687354665,0.0310755797842705,0.038004782733896
"Subsite_0sal_Cavity",-0.00577750982165949,-0.0128328147391472,-0.0339818479064134,-0.0100743164099113,0.359708751975647,-0.0558986532723595,-0.0253842356753382,-0.0035685457682456,-0.00577750982165949,-0.00298339916053632,-0.0267165625378668,-0.0031901927519096,-0.00610639834306284,1,-0.00195112535903012,-0.00437608978205049,-0.00479741301131344,-0.00518574632894806,-0.0035685457682456,-0.0113668327360301,-0.00554802630782667,-0.00822528641768511,-0.00407185565669565,-0.0150988448804291,-0.00518574632894806,-0.0208240248243373,-0.00599866193345294,-0.0198529973587373,-0.0031901927519096,-0.00422663394003386,-0.106788247661949,-0.00876358524080629,-0.0285512807416361,-0.0407491094921026,0.0372523911502402,0.0213023798401045,0.0187513040063475,-0.0283144204948924,0.0190844800726685,0.0237512161339678,-0.0180580182795385,-0.0128602936228854,0.00766432432359832,-0.0248431890849594
"Subsite_0sal_Vestibule",-0.0044729859030739,-0.00993524912926535,-0.026308968974133,-0.00779960167539721,0.278488869160802,-0.0432771030783401,-0.0196526413352734,-0.00276279148085494,-0.0044729859030739,-0.0023097671488663,-0.0206841375089425,-0.00246986810024694,-0.00472761354808541,-0.00195112535903012,1,-0.00338799733966964,-0.00371418854025672,-0.00401483873542586,-0.00276279148085494,-0.00880027627131882,-0.0042953182652771,-0.00636807055820512,-0.00315245728937937,-0.0116896244900645,-0.00401483873542586,-0.016122096259417,-0.00464420331490393,-0.0153703204426381,-0.00246986810024694,-0.00327228764897103,-0.0153780702758815,0.0360854560723898,-0.0436812411611636,-0.0315482271683332,0.0183806440742959,0.0528402019558423,0.0024226041237269,-0.00874728899265663,0.00252371178152043,0.0441335286655174,-0.0300450407469029,-0.0278266030454833,-0.0271721727404117,-0.0414430889603764
"Subsite_0sal_Vestibule_septum",-0.0100322553930762,-0.0222833156237159,-0.0590071825837048,-0.0174933696790944,0.624609940672995,-0.0970642340848925,-0.0440780099236389,-0.0061965385839254,-0.0100322553930762,-0.00518047104061736,-0.0463915054891217,-0.00553955413806716,-0.0106033480860215,-0.00437608978205049,-0.00338799733966964,1,-0.00833038351144485,-0.00900469807609445,-0.0061965385839254,-0.019737736938278,-0.00963377277853512,-0.0142826540448382,-0.00707050219431373,-0.026218123838238,-0.00900469807609445,-0.0361595119347635,-0.010416271090966,-0.0344733883574275,-0.00553955413806716,-0.00733926422426815,-0.0646787312638974,0.0118103688640545,-0.0979706568970386,-0.0588814664895324,0.0646862599213433,-0.00463848388906745,-0.0292887872648185,0.0296264119065211,-0.0288841984371841,-0.000687862363657274,-0.0433665679861044,-0.0103614429426444,-0.0485679221290567,-0.0598758881395492
"Subsite_Other",-0.0109981455940356,0.0419493169196727,-0.0646883038481377,0.173470150236861,0.18057510934114,-0.0743706234507973,-0.0483217732844102,-0.00679313183873942,-0.0109981455940356,-0.00567923886683718,-0.0508580086635351,-0.00607289393555042,-0.0116242222177465,-0.00479741301131344,-0.00371418854025672,-0.00833038351144485,1,-0.00987165663062855,-0.00679313183873942,-0.0216380560540529,-0.0105612976830027,-0.0156577661253306,-0.00775123932846438,-0.028742364690437,-0.00987165663062855,-0.0396408944236273,-0.011419133735815,-0.0377924334478555,-0.00607289393555042,-0.00804587735548544,-0.0378114886821413,0.0158852540150358,0.000666824018160467,-0.0558704371713221,0.0344775461837521,0.00315486577759207,-0.0386511486680091,0.0448507195440001,-0.038980999390077,0.0458507387210186,-0.0409586609383746,-0.00794598096808772,0.0236344282513057,-0.0565355467623123
"Subsite_Post_Wall",-0.0118884058981388,0.137596376421337,-0.0699245892349209,-0.0207299626178575,-0.0144165141950706,0.0136111166583312,-0.0522332469243221,-0.00734301141296954,-0.0118884058981388,-0.00613895281383266,-0.0549747814296126,-0.00656447284361483,-0.012565161171323,-0.00518574632894806,-0.00401483873542586,-0.00900469807609445,-0.00987165663062855,1,-0.00734301141296954,-0.0233895788174294,-0.0114161967208999,-0.0169252059417186,-0.00837867425581045,-0.0310689556699044,-0.0106707317073171,-0.0428496821617746,-0.0123434715148816,-0.0408515949225257,-0.00656447284361483,-0.00869716217073246,0.0102325008371603,0.0546079599942138,-0.00231342804385728,-0.0536910441418949,-0.0305814871876618,-0.0636364221443218,0.0294001266899613,-0.0315854033231984,0.0299666040365982,0.034685604889809,-0.0188596239217259,-0.0240679477307779,0.0849057109187476,-0.0259392362021819
"Subsite_Post_cricoid",-0.00818094790371189,0.278079738606336,-0.0481182613228993,-0.0142652215676063,-0.00992065316355492,-0.0791524349460084,-0.0359440513379929,-0.00505305709954523,-0.00818094790371189,-0.00422449011108992,-0.0378306247908324,-0.00451730962158282,-0.00864665370825119,-0.0035685457682456,-0.00276279148085494,-0.0061965385839254,-0.00679313183873942,-0.00734301141296954,1,-0.016095423342259,-0.00785599948659474,-0.0116469970200523,-0.00576574337857092,-0.0213799486605697,-0.00734301141296954,-0.0294867975117649,-0.00849409906419895,-0.0281118236295284,-0.00451730962158282,-0.0059849092669384,-0.0035087878476285,-0.0173828928924751,0.012188758392845,-0.0577006966959667,0.0670981506991628,-0.00590418550157776,0.00664296148930309,-0.00395117196214636,0.006856569585655,0.0100881410938922,-0.0108794942315935,0.00153322085939385,0.0411275295939601,-0.014897801262305
"Subsite_Pyriform_Sinus",-0.0260586447485543,0.885763019811617,-0.153270341345483,-0.0454387860019256,-0.0316001005635793,-0.252123006712368,-0.114492021666044,-0.016095423342259,-0.0260586447485543,-0.0134562019394752,-0.120501294427369,-0.0143889153229595,-0.0275420501265941,-0.0113668327360301,-0.00880027627131882,-0.019737736938278,-0.0216380560540529,-0.0233895788174294,-0.016095423342259,1,-0.0250235916638844,-0.0370989965105762,-0.0183655317430072,-0.0681012143635987,-0.0233895788174294,-0.0939238325650507,-0.02705612021714,-0.0895441498733317,-0.0143889153229595,-0.0190636374018121,0.0276257294509407,0.0513202857276569,0.104050898017785,-0.155170035589874,0.14163526390499,-0.01636801543597,0.0924203207581644,-0.0944769412908555,0.0942770811418585,0.0603931002433525,-0.00619203265677239,-0.0818107442338256,0.125037882693402,-0.00837491201039849
