"","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DI_SHAP","BED_DD_SHAP"
"variance.estimates",0.363355075092862,1.33777366496128e-31,0.386971257481697,1.92181269458338e-25,0.000341581276871807,1.90183807753211e-11,5.33688279860264e-30,0.431749714077999,0.268853613151149,6.42534629870144e-104,0,2.85660453125719e-23,3.01922167267529e-32,2.8534937334543e-31,5.33049165165378e-79,9.90134635397758e-33,1.64363616621898e-07,6.00046111904301e-30,1.77429929569782e-34,2.29659274903932e-41
"Sex_SHAP",4.0345525647093e-92,4.68107607164831e-10,0.0261247211255487,0.0263578089200186,0.0556863181106655,0.336475720912765,2.77358950753003e-39,0.00298343984644015,0.342865639293114,3.77320477147742e-56,1.50347606908273e-25,0,2.88878314175156e-10,1.49382312915311e-08,6.08531823965394e-13,4.17794958650754e-16,1,1.26343624302454e-44,7.48897307016947e-07,4.92439502332314e-13
"Smoking_PY_SHAP",0.122184757584933,0,0.535872546212758,2.72577161509852e-24,0.350127203734965,0.449676068606768,0.000435301447638468,0.0188230820809526,0.0532157971252632,7.51760599659168e-100,1.58906403825015e-34,1.52041217986924e-12,0,2.35642015424486e-69,2.38014024181182e-69,1.36186733023383e-31,1,0.288573123240469,2.10042591714016e-64,1
"Stage_numeric_SHAP",0.998876344171675,1.08006690321456e-74,1.22243731643427e-33,6.53941519450355e-12,0.593232703448132,1.19013917934548e-08,0.000197965466402751,0.159011023885291,0.215549952476756,3.24034518915693e-75,1.50183880708121e-33,7.86222699554266e-11,1.24022113381309e-71,0,4.45659604341363e-33,6.9560211057807e-44,5.04712733964784e-21,0.00272955391005746,4.48885771848262e-29,0.000114010567819123
"HPV_Positive_SHAP",0.951712241793782,2.56895276748223e-59,0.780898678508523,1.81031633735448e-138,7.5787048989944e-25,1.13930712049575e-16,8.4768654564858e-17,0.18154304102077,0.192835733827611,1.8786541434336e-106,2.80552192192304e-81,3.20279907350207e-15,1.25270539042727e-71,2.34557686495454e-35,0,1.21838891855152e-29,1.29559674320176e-14,7.2139909601748e-15,6.73343503779088e-37,2.67970499764857e-32
"HPV_Unknown_SHAP",0.750116365388723,1.68168540824802e-35,0.603420850290378,1.22547763965935e-07,1.3705191718345e-39,0.00618931412600662,4.63363506420913e-45,0.0941698704458884,0.00500111127710107,6.45909765657634e-108,5.21123492314609e-35,2.19892083500397e-18,7.16772279070437e-34,3.66106373988458e-46,6.4125732555343e-32,0,2.15438858992623e-14,5.27903290402104e-42,3.65712147347953e-10,0.00902391570750217
"RT_year_SHAP",0.851105873700975,0.061293207927948,0.053928644612716,0.000736616004597418,0.387652135077234,5.55278966837394e-121,0.42257490605355,0.524225711916993,0.530404974872164,1.32259804371731e-28,8.6507166643104e-10,0.053113456095736,0.0642382594740917,2.65638281034097e-23,6.8189302273777e-17,1.13388873154012e-16,0,1,1.03576565919281e-09,1.89866228503563e-19
"Age_SHAP",0.440536647413563,0.0024645046752234,0.0451662378007979,0.0248416142913475,0.120680730542083,0.000190617559588821,0,0.0307431783617351,2.83306309602321e-10,2.52089320185014e-117,3.15813743107527e-32,6.64966443697124e-47,0.00151880591179194,1.43660732108288e-05,3.79683734746042e-17,2.77843837053739e-44,0.142321813090823,0,0.0206322133808425,0.00960695352693998
"BED_DI_SHAP",0.0241019267013642,4.37820437774446e-60,0.0246007591998059,9.26300043095339e-14,0.280075506840735,7.31462475773861e-12,0.000447724217699973,4.53149805312172e-08,3.42990433753482e-10,4.75094693310472e-53,9.338417345778e-37,3.94156477377341e-09,1.10548732481061e-66,2.36255669393822e-31,3.54391317778467e-39,1.92480077551554e-12,5.45139820627794e-12,0.000108590596741276,0,1.00284749748093e-25
"BED_DD_SHAP",0.000662439859121942,0.100920354169944,0.216205393636449,7.89984906060306e-29,2.33665401958737e-05,1.03055571155594e-32,0.000175053305472034,0.100010184938206,1.02052704451055e-23,1.23678529856504e-20,1.20873302581017e-43,2.5917868543806e-15,0.0654037556998201,6.00055620100649e-07,1.41037105139398e-34,4.74942931973798e-05,9.99295939492436e-22,5.05629132996841e-05,5.27814472358387e-28,0
