"Repetition","Horizon","CATE_Estimate","Standard_Error"
5,108,-5.46045515826552,5.8571851603898
5,120,-5.54640386707347,6.83100387745235
6,12,-0.111249505260272,0.197664552104372
6,24,-0.412300623686148,0.649342178297598
6,36,-0.847650377656541,1.19645553885493
6,48,-1.16661471177959,1.82252976804604
6,60,-1.50693434400607,2.52928755421459
6,72,-1.6234998575556,3.23326278104629
6,84,-2.02434506352429,3.89983795339326
6,96,-1.95254193855649,4.6264814588985
6,108,-2.18482267091633,5.4823969139148
6,120,-2.99355771874718,6.29844942784925
7,12,0.0284064853075403,0.135487536398713
7,24,0.0358908421717175,0.529605995124213
7,36,0.039303066234021,1.04263114013321
7,48,0.056284339319911,1.6437730662595
7,60,-0.0362067126093784,2.27775171264895
7,72,0.0716732862461359,2.98108109695576
7,84,0.454879343055548,3.69987399736056
7,96,0.188742035895943,4.60442183546681
7,108,0.631307207812312,5.61817956051654
7,120,1.51748388522928,6.51593389289166
8,12,-0.00840379974934486,0.112669546233007
8,24,-0.172842375714068,0.500328094881181
8,36,-0.201143013482504,1.01925953076564
8,48,-0.317817764344627,1.66825501030224
8,60,-0.59110182315406,2.40572586155039
8,72,-0.745617241435347,3.10305059179491
8,84,-1.20794336068584,3.77355396053539
8,96,-1.54088748277982,4.482741651793
8,108,-1.49009389835964,5.28262289077142
8,120,-2.48742166561636,6.15325386048539
9,12,0.00166159593195177,0.134242510284197
9,24,-0.223127561380011,0.516307400755077
9,36,-0.443848494071794,1.04987390096971
9,48,-0.828027744058838,1.68230392956381
9,60,-1.68905003975905,2.34834928998725
9,72,-2.36321962984534,3.04085851407852
9,84,-2.95597654118044,3.71903361558171
9,96,-3.9028664051062,4.40555426716829
9,108,-5.37014501390155,5.21032668307449
9,120,-6.1277686305503,6.00079186963365
10,12,0.0173067750008973,0.123382497000947
10,24,0.298733828632834,0.49209638322089
10,36,-0.0834154049892287,0.998947852992788
10,48,-0.615894043534932,1.66462007371734
10,60,-1.00083286628457,2.400035951269
10,72,-1.1625207501346,3.18953968777132
10,84,-1.90984753294175,3.94564925281298
10,96,-3.01246017328038,4.79553177017346
10,108,-4.29044678990666,5.68527123374356
10,120,-5.36401844937164,6.60169026720568
11,12,0.0489778538906376,0.0764989444593151
11,24,0.0119920086568098,0.438510808714938
11,36,-0.18495732527058,0.991553715552165
11,48,-0.461180165769306,1.69719292769065
11,60,-0.77550455938597,2.5064995131976
11,72,-0.671949169118602,3.33540497851082
11,84,-1.2072577473023,4.12606774779625
