"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Ds_Site_Hypopharynx_SHAP","Ds_Site_Larynx_SHAP","Ds_Site_Lip_Oral_Cavity_SHAP","Ds_Site_Oropharynx_SHAP","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DD_SHAP"
"BED_DD",0.0180515382345143,0.0396992595228593,-0.0138207505937095,0.0386868167803492,-0.0775474651566655,-0.0105869861269578,0.0802519911536555,0.0304654692898508,0.00963342196889544,-0.0332755274460387,-0.0135295951606758,0.219352477542569,0.197312800416483,-0.00432306840627672,1,0.0863712832198349,-0.0156566459114452,0.1186319255322,-0.0196441865427917,0.0100596012267915,-0.0325647704565755,-0.0605022024806571,0.0273667110255098,-0.0219857334522338,0.0458291856573485,-0.0529291275381189,-0.0681849437724428,0.170512472674675,-0.38028768863292
"predictions",0.0394109928314602,0.236521778641257,0.235660849720114,0.0769631376195409,0.0549281960491539,-0.378592332088383,-0.0921321385684382,0.5614835315866,-0.0329992528544145,-0.657651716622806,0.407806810712844,-0.293074161642877,0.368533170868969,0.043599791559442,0.0863712832198349,1,0.46774140377505,0.0915913110926225,0.509548958440313,0.269687431699376,0.497772807702876,-0.131911809041064,0.591148156029947,0.287699978927495,0.692504594701387,0.520046295948409,0.513848957281692,0.513775310068806,0.401679006272081
"variance.estimates",0.0668218436148796,0.174667486017782,0.0879886704723915,0.0929052153703317,-0.0177651898556961,-0.217010204927288,-0.00167802820450666,0.356960941227505,0.0328287173467389,-0.434445835351735,0.243843322235434,-0.275590120872659,0.195562376573803,-0.0359146163687929,-0.0156566459114452,0.46774140377505,1,-0.0555580729796129,0.354956494179451,0.167726564476712,0.296002098567469,-0.190890910603976,0.371332573579512,0.149928057931351,0.429080851319053,0.346610964618419,0.277020006696095,0.12099649570517,0.231394550932246
"Ds_Site_Hypopharynx_SHAP",0.0257687251282374,0.44999378615515,-0.227275167782207,-0.0710876270875112,0.0692344289308695,-0.0986787160158341,-0.245344494699094,-0.315980372721145,0.05150008131862,-0.0292578765946394,-0.0815005809913114,0.24921983043845,0.210817725418359,-0.022983118286333,0.1186319255322,0.0915913110926225,-0.0555580729796129,1,0.0300924922658002,-0.0468406303985436,0.193251527448533,0.358523725147068,-0.254900551042101,-0.0546359921990963,0.128126960492753,-0.00341275259797977,-0.0871373251675938,0.302823261861854,-0.155802320332906
"Ds_Site_Larynx_SHAP",0.0311161566499468,0.251805909726928,-0.242125773419128,0.107704272238934,0.0340361101458711,-0.02110124642103,0.00912847309461099,0.347314115530978,0.0669156654700467,-0.284567299189921,0.0788958038999698,-0.36321123234903,0.072349519070987,0.0199815623474145,-0.0196441865427917,0.509548958440313,0.354956494179451,0.0300924922658002,1,0.0540835878860551,0.325536913915057,-0.108997659513131,0.395240479108444,0.29148800066063,0.306506246364307,0.392330264147853,0.399125658967231,0.112782905073246,0.306696860806572
"Ds_Site_Lip_Oral_Cavity_SHAP",0.0834536163466774,0.284645043134145,0.212471409481679,-0.25457191138955,0.0601858045262355,-0.279003751833218,0.0407928641415429,0.149793729292754,-0.0541551612158912,-0.305640661346148,0.456081997710079,-0.104164581725686,0.12769550006369,0.0485444204597242,0.0100596012267915,0.269687431699376,0.167726564476712,-0.0468406303985436,0.0540835878860551,1,0.11606214400984,-0.230002474190902,0.14310809439052,0.120158731075332,0.199499911805258,0.161195282322696,0.0955594629594881,0.164781484227292,0.0841517866727518
"Ds_Site_Oropharynx_SHAP",0.0297687723295161,0.188657350430427,0.263506897749383,0.071548844414172,0.167164342594477,-0.396505449306377,-0.157936008761909,0.164697970693166,-0.163213212288041,-0.442643152055241,0.302602743094693,-0.216331606795108,0.140183424629393,0.016932666204476,-0.0325647704565755,0.497772807702876,0.296002098567469,0.193251527448533,0.325536913915057,0.11606214400984,1,0.00228349185013531,0.21354341471046,0.0016103922025145,0.567076167788175,0.724347466257817,0.204642017447266,0.148681993620408,0.299848278391891
"Sex_SHAP",-0.0346951462510909,-0.066678383740129,-0.149574175638997,-0.0524584576758616,0.0788088143865373,0.161756812423094,-0.637751375797399,-0.182368940455575,0.0506293713311714,0.39141462902765,-0.271027056354097,0.0608413167157486,-0.148856241678071,0.0135748419282156,-0.0605022024806571,-0.131911809041064,-0.190890910603976,0.358523725147068,-0.108997659513131,-0.230002474190902,0.00228349185013531,1,-0.0936228908749399,0.0330346790101654,-0.243136605649104,-0.0846679781549482,-0.0144009776956672,-0.0474690880020652,0.00179628966973369
"Smoking_PY_SHAP",-0.0332214446506198,0.107518452552903,0.15777245950796,-0.0122122326928898,0.0374397211604582,-0.188753888302914,0.04420765141131,0.881867919085577,-0.0305465182070853,-0.3391221832148,0.154333042661992,-0.00503614592751055,-0.0117018192091738,0.0178867839365245,0.0273667110255098,0.591148156029947,0.371332573579512,-0.254900551042101,0.395240479108444,0.14310809439052,0.21354341471046,-0.0936228908749399,1,0.280939247455493,0.369593027219421,0.329840656564006,0.0719484434204449,-0.0193269485797474,0.239279674759706
"Stage_numeric_SHAP",-0.0967590365109307,0.108271481767543,-0.152919075457534,0.0455201448487025,-0.01726709978132,0.0565635687953859,-0.0436203415614729,0.214314857984828,0.562670363385321,-0.165792497645155,0.0210552814883448,-0.165409221870539,-0.220414594628431,-0.0112607692443208,-0.0219857334522338,0.287699978927495,0.149928057931351,-0.0546359921990963,0.29148800066063,0.120158731075332,0.0016103922025145,0.0330346790101654,0.280939247455493,1,0.130321231711754,0.08564085954623,0.224059455799416,-0.0453980927048893,0.141418856786736
"HPV_Positive_SHAP",0.0439163076940386,0.214942776453975,0.299476282632752,0.135417417693078,0.0918974973938519,-0.446539932886287,-0.0446439387283319,0.331396269951751,-0.133372813904096,-0.835249887336255,0.505637881872853,-0.124766458227787,0.15838193232518,-0.00747337360376886,0.0458291856573485,0.692504594701387,0.429080851319053,0.128126960492753,0.306506246364307,0.199499911805258,0.567076167788175,-0.243136605649104,0.369593027219421,0.130321231711754,1,0.577361447266091,0.139207378127378,0.169856060977669,0.239362348737134
"HPV_Unknown_SHAP",0.064463918580607,0.119319832276098,0.211899871977672,0.090398596025529,0.0825721566465686,-0.304108339244785,-0.0657451426189078,0.233905714503031,-0.11815791904685,-0.481572471318295,0.420671500251673,-0.25449906414588,0.0437367679495497,0.00481375329431922,-0.0529291275381189,0.520046295948409,0.346610964618419,-0.00341275259797977,0.392330264147853,0.161195282322696,0.724347466257817,-0.0846679781549482,0.329840656564006,0.08564085954623,0.577361447266091,1,0.273512243331778,0.00825837626362315,0.337632676292553
"RT_year_SHAP",-0.00858957504274581,0.074844044286388,0.0324277262519774,0.0502325827515418,-0.0276993058992008,-0.0809548336304571,-0.045633975332343,0.0878451633122701,-0.0101904956380941,-0.202241466800405,0.168594197237087,-0.749103088152403,0.0016054996472232,0.0538600490825375,-0.0681849437724428,0.513848957281692,0.277020006696095,-0.0871373251675938,0.399125658967231,0.0955594629594881,0.204642017447266,-0.0144009776956672,0.0719484434204449,0.224059455799416,0.139207378127378,0.273512243331778,1,0.136751790721312,0.56259542223706
"Age_SHAP",0.0531374691369863,0.0681020795990589,0.031237803907568,0.0226397548608745,-0.0259559929405098,-0.0769733290453231,-0.00740849424865947,0.0264727561198472,0.0971502072405073,-0.098829453907851,0.0903785295776342,-0.000997575757491872,0.758668743906135,0.0527618613789477,0.170512472674675,0.513775310068806,0.12099649570517,0.302823261861854,0.112782905073246,0.164781484227292,0.148681993620408,-0.0474690880020652,-0.0193269485797474,-0.0453980927048893,0.169856060977669,0.00825837626362315,0.136751790721312,1,0.00356254299612652
"BED_DD_SHAP",-0.00917905568293425,0.0605011909637804,0.187942144145743,0.0715287914869259,0.00354196918591179,-0.208741478048395,-0.0527739850782198,0.255687423596558,0.0101929386932629,-0.237921335147033,0.288725069591379,-0.59083939931839,-0.0395765924704815,0.0347123198741111,-0.38028768863292,0.401679006272081,0.231394550932246,-0.155802320332906,0.306696860806572,0.0841517866727518,0.299848278391891,0.00179628966973369,0.239279674759706,0.141418856786736,0.239362348737134,0.337632676292553,0.56259542223706,0.00356254299612652,1
